Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
762	lmn	 	401		"ООО ""АТП Барс-2"""	инт	Сосновый Бор, проспект Героев	станция метро Автово	ежедневно	проспект Героев /г. Сосновый Бор/ - улица Космонавтов /г. Сосновый Бор/ - Солнечная улица /г. Сосновый Бор/ - улица 50 лет Октября /г. Сосновый Бор/ - Комсомольская улица /г. Сосновый Бор/ - (обратно: улица 50 лет Октября /г. Сосновый Бор/) - Ленинградская улица /г. Сосновый Бор/ - Гора-Валдай - Шепелёво - Кандикюля - Лебяжье - Большая Ижора - Краснофлотское шоссе /г. Ломоносов/ - Дворцовый проспект /г. Ломоносов/ - Морская улица /г. Ломоносов/ - Ораниенбаумское шоссе /г. Петергоф/ - Ораниенбаумский спуск /г. Петергоф/ - Санкт-Петербургский проспект /г. Петергоф/ - Санкт-Петербургское шоссе /г. Петергоф/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Санкт-Петербургское шоссе - Петергофское шоссе - проспект Стачек	190	ПАЗ-3204-02	льготы действуют только на участке от Ломоносова до Соснового Бора<BR>при следовании из СПб право на проезд от пос. Лебяжье и далее имеют только граждане РФ<BR><BR>СПб - Стрельна - 55р.<BR>СПб - Петергоф - 75р.<BR>СПб - Ломоносов - 85р.<BR>СПб - Бронка - 100р.<BR>СПб - Большая Ижора - 105р.<BR>СПб - Лебяжье - 125р.<BR>СПб - Шепелёво - 155р.<BR><BR>Стрельна - Петергоф - 45р.<BR>Стрельна - Ломоносов - 65р.<BR>Стрельна - Бронка - 85р.<BR>Стрельна - Большая Ижора - 95р.<BR>Стрельна - Лебяжье - 105р.<BR>Стрельна - Шепелёво - 135р.<BR>Стрельна - Сосновый Бор - 155р.<BR><BR><BR>Петергоф - Ломоносов - 45р.<BR>Петергоф - Бронка - 55р.<BR>Петергоф - Большая Ижора - 65р.<BR>Петергоф - Лебяжье - 95р.<BR>Петергоф - Шепелёво - 125р.<BR>Петергоф - Сосновый Бор - 135р.<BR><BR>Ломоносов - Бронка - 35р.<BR>Ломоносов - Большая Ижора - 45р.<BR>Ломоносов - Лебяжье - 75р.<BR>Ломоносов - Шепелёво - 105р.<BR>Ломоносов - Сосновый Бор - 115р.<BR><BR>Бронка - Большая Ижора - 35р.<BR>Бронка - Лебяжье - 55р.<BR>Бронка - Шепелёво - 90р.<BR>Бронка - Сосновый Бор - 110р.<BR><BR>Большая Ижора - Лебяжье - 45р.<BR>Большая Ижора - Шепелёво - 85р.<BR>Большая Ижора - Сосновый Бор - 105р.<BR><BR>Лебяжье - Шепелёво - 65р.<BR>Лебяжье - Сосновый Бор - 95р.<BR><BR>Шепелёво - Сосновый Бор - 65р.	27.06.2016	2	-	-
858	lmn	К-	486	в	"ХК ""Питеравто"""	инт	Горбунки	станция метро Проспект Ветеранов	ежедневно	Горбунки - Новополье - улица Нижняя Колония /пос. Стрельна/ - Волхонское шоссе /пос. Стрельна/ - Дмитриевская улица /Володарский/ - Андреевская улица /Володарский/ - (обратно: проспект Ленина /Володарский/) - проспект Ленина /Володарский/ - проспект Будённого /Володарский/ - проспект Будённого /пос. Стрельна/ - Санкт-Петербургское шоссе - Петергофское шоссе - улица Партизана Германа - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	47	ПАЗ-3203	"<BR>СПб - Володарский - 40р.<BR>ТК ""Лента"" - Володарский - 30р.<BR>Володарский - Горбунки - 35р."	27.06.2016	2	-	-
859	lmn	 	486		"ХК ""Питеравто"""	расп	Кипень	станция метро Проспект Ветеранов	ежедневно	Кипень - Ропша - Олики - Разбегаево - Горбунки - улица Нижняя Колония /пос. Стрельна/ - Волхонское шоссе /пос. Стрельна/ - Фронтовая улица /пос. Стрельна/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Петергофское шоссе - проспект Стачек - улица Лёни Голикова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов - (обратно: Дачный проспект - проспект Ветеранов)	66	ПАЗ-3204-12	"<BR>СПб - ТК ""Лента"" - 40р.<BR>СПб - Стрельна - 40р.<BR>СПб - Горбунки - 47р.<BR>СПб - Разбегаево - 50р.<BR>СПб - Олики - 55р.<BR>СПб - Ропша - 60р.<BR><BR>ТК ""Лента"" - Стрельна - 30р.<BR>ТК ""Лента"" - Горбунки - 40р.<BR>ТК ""Лента"" - Разбегаево - 45р.<BR>ТК ""Лента"" - Олики - 50р.<BR>ТК ""Лента"" - Ропша - 55р.<BR>ТК ""Лента"" - Кипень - 60р.<BR><BR>Стрельна - Горбунки - 35р.<BR>Стрельна - Разбегаево - 40р.<BR>Стрельна - Олики - 45р.<BR>Стрельна - Ропша - 50р.<BR>Стрельна - Кипень - 55р.<BR><BR>Горбунки - Разбегаево - 30р.<BR>Горбунки - Ропша - 40р.<BR>Горбунки - Кипень - 45р.<BR><BR>Разбегаево - Ропша - 35р.<BR>Разбегаево - Кипень - 40р.<BR>Ропша - Кипень - 30р."	27.06.2016	2	-	-
867	lmn	К-	502	 	"ЗАО ""Такси-2"""	инт	Большая Ижора	Ломоносов, вокзал	ежедневно	Большая Ижора - Дубки - Пеники - Малая Ижора - Краснофлотское шоссе /г. Ломоносов/ - Дворцовый проспект /г. Ломоносов/ - Кронштадтская улица /г. Ломоносов/ - Привокзальная площадь /г. Ломоносов/ - (обратно: Петербургская улица /г. Ломоносов/)	35	ПАЗ-3204-02	-	27.06.2016	2	-	-
926	lmn	 	632	 	"ХК ""Питеравто"""	инт	Терволово	станция метро Проспект Ветеранов	ежедневно	Терволово - Кипень - Русско-Высоцкое - Телези - Лаголово - Кингисеппское шоссе /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Гореловский путепровод - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	88	ПАЗ-3204-12	СПб - Горелово - 40р.<BR>СПб - Красное Село - 46р.<BR>СПб - Лаголово - 50р.<BR>СПб - Телези - 55р.<BR>СПб - Русско-Высоцкое - 60р.<BR>СПб - Кипень - 65р.<BR><BR>Горелово - Красное Село - 40р.<BR>Горелово - Телези - 50р.<BR>Горелово - Русско-Высоцкое - 55р.<BR>Горелово - Кипень - 60р.<BR><BR>по Красному Селу - 30р.<BR>Красное Село - Телези - 35р.<BR>Красное Село - Русско-Высоцкое - 40р.<BR>Красное Село - Кипень - 45р.<BR><BR>Лаголово - Телези - 25р.<BR>Лаголово - Русско-Высоцкое - 30р.<BR>Лаголово - Кипень - 35р.<BR><BR>Телези - Русско-Высоцкое - 25р.<BR>Телези - Кипень - 30р.<BR>Русско-Высоцкое - Кипень - 25р.	27.06.2016	2	-	-
927	lmn		632	а	"ХК ""Питеравто"""	расп	Каськово	станция метро Проспект Ветеранов	ежедневно	Каськово - Шундорово - Черемыкино - Витино - Глухово - Кипень - Русско-Высоцкое - Телези - Лаголово - Кингисеппское шоссе /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Гореловский путепровод - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	100	ПАЗ-3204-12	"СПб - ТК ""Лента"" - 40р.<BR>СПб - Лаголово - 46р.<BR>СПб - Телези - 50р.<BR>СПб - Русско-Высоцкое - 55р.<BR>СПб - Кипень - 60р.<BR><BR>ТК ""Лента"" - Телези - 46р.<BR>ТК ""Лента"" - Русско-Высоцкое - 50р.<BR>ТК ""Лента"" - Кипень - 55р.<BR><BR>по Красному Селу - 28р.<BR>Красное Село - Телези - 30р.<BR>Красное Село - Русско-Высоцкое - 35р.<BR>Красное Село - Кипень - 40р.<BR><BR>Лаголово - Телези - 20р.<BR>Лаголово - Русско-Высоцкое - 25р.<BR>Лаголово - Кипень - 30р.<BR><BR>Телези - Русско-Высоцкое - 20р.<BR>Телези - Кипень - 25р.<BR>Русско-Высоцкое - Кипень - 20р."	27.06.2016	2	-	-
928	lmn	К-	635	 	"ХК ""Питеравто"""	инт	Новоселье	станция метро Проспект Ветеранов	ежедневно	Новоселье - Красносельское шоссе /Володарский/ - Волхонское шоссе /Володарский/- Дмитриевская улица /Володарский/ - Андреевская улица /Володарский/ - (обратно: проспект Ленина /Володарский/) - проспект Ленина /Володарский/ - проспект Будённого /Володарский/ - проспект Будённого /пос. Стрельна/ - Санкт-Петербургское шоссе - Петергофское шоссе - улица Пионерстроя - улица Чекистов - улица Лётчика Пилютова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	44	ПАЗ-3204-02	"<BR>СПб - Володарский - 40р.<BR>ТК ""Лента"" - Володарский - 30р.<BR>ТК ""Лента"" - Новоселье - 40р.<BR>Володарский - Новоселье - 35р.<BR>в летний период следует от садоводства Кировец-2<BR>Новоселье - садоводство Кировец-2 - 10р."	27.06.2016	2	-	-
929	lmn	 	636	 	"ХК ""Питеравто"""	расп	Ретселя, Туутари-Парк	Ломоносов, администрация	ежедневно	Ретселя - Карвала - Перекюля - Виллози - Гатчинское шоссе /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Красносельское шоссе /Горелово/ - Аннинское шоссе /Горелово/ - Аннинское шоссе /Торики/ - Пески - Новоселье - Красносельское шоссе /Володарский/ - Волхонское шоссе /пос. Стрельна/ - Фронтовая улица /пос. Стрельна/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Санкт-Петербургское шоссе /г. Петергоф/ - Санкт-Петербургский проспект /г. Петергоф/ - Петергофская улица /г. Петергоф/ - бульвар Красных Курсантов /г. Петергоф/ - Гостилицкая улица /г. Петергоф/ - Чичеринская улица /г. Петергоф/ - Ботаническая улица /г. Петергоф/ - Ульяновская улица /г. Петергоф/ - Астрономическая улица /г. Петергоф/ - Астрономическая улица /г. Ломоносов/ - улица Федюнинского /г. Ломоносов/ - улица Победы /г. Ломоносов/ - Александровская улица /г. Ломоносов/	90	ПАЗ-3204-02, ПАЗ-3204-12	часть рейсов от пос. Виллози<BR>от Ломоносова:<BR>Петергоф - 30р.<BR>Стрельна - 40р.<BR>Новоселье - 50р.<BR>Горелово - 60р.<BR>Красное Село - 70р.<BR>Виллози - 80р.<BR><BR>от Петергофа:<BR>Стрельна - 30р.<BR>Новоселье - 40р.<BR>Горелово - 50р.<BR>Красное Село - 60р.<BR>Виллози - 70р.<BR><BR>от Стрельны:<BR>Новоселье - 30р.<BR>Горелово - 40р.<BR>Красное Село - 50р.<BR>Виллози - 60р.<BR><BR>от Новоселья:<BR>Горелово - 30р.<BR>Красное Село - 40р.<BR>Виллози - 50р.<BR><BR>от Горелово:<BR>Красное Село - 30р.<BR>Виллози - 40р.<BR><BR>Красное Село - Виллози - 25р.<BR><BR>в пределах одного населённого пункта - 25р.	27.06.2016	2	-	-
931	lmn	К-	639	в	"ЗАО ""Такси-2"""	инт	Яльгелево	станция метро Ленинский проспект	ежедневно	Яльгелево - Коцелово - улица Свободы /г. Красное Село/ - улица Юных Пионеров /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Гореловский путепровод - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - улица Стойкости - улица Солдата Корзуна - проспект Ветеранов - Ленинский проспект - (обратно: бульвар Новаторов - улица Подводника Кузьмина)	70	ПАЗ-3204-02	"<BR>СПб - Горелово - 40р.<BR>СПб - Октябрьский городок - 46р.<BR>ТК ""Лента"" - Горелово - 35р.<BR>ТК ""Лента"" - Октябрьский городок - 40р.<BR>Горелово - Яльгелево - 60р.<BR>Красное Село - Октябрьский городок - 30р.<BR>Красное Село - Яльгелево - 35р.<BR>Октябрьский городок - Яльгелево - 30р."	27.06.2016	2	-	-
932	lmn	 	639	а	"ЗАО ""Такси-2"""	инт	Гостилицы	станция метро Ленинский проспект	ежедневно	Гостилицы - Вильповицы - Оржицы - Малое Забородье - Большое Забородье - Ропша - Яльгелево - Коцелово - улица Свободы /г. Красное Село/ - улица Юных Пионеров /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Гореловский путепровод - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - проспект Ветеранов - Ленинский проспект - (обратно: бульвар Новаторов - улица Подводника Кузьмина)	100	ПАЗ-3204-02	"<BR>СПб - Горелово - 40р.<BR>СПб - Октябрьский городок - 46р.<BR>СПб - Яльгелево - 70р.<BR>ТК ""Лента"" - Горелово - 35р.<BR>ТК ""Лента"" - Октябрьский городок - 40р.<BR>Горелово - Яльгелево - 60р.<BR>Красное Село - Октябрьский городок - 30р.<BR>Красное Село - Яльгелево - 35р.<BR>Октябрьский городок - Яльгелево - 30р."	27.06.2016	2	-	-
933	lmn	К-	639	б	"ЗАО ""Такси-2"""	инт	Ольгино	станция метро Проспект Ветеранов	ежедневно	Ольгино - Санино - Жилгородок - Низино - Сашино - Бабигонское шоссе /г. Петергоф/ - улица Шахматова /г. Петергоф/ - Ботаническая улица /г. Петергоф/ - Чичеринская улица /г. Петергоф/ - Гостилицкая улица /г. Петергоф/ - бульвар Красных Курсантов /г. Петергоф/ - Петергофская улица /г. Петергоф/ - Санкт-Петербургский проспект /г. Петергоф/ - Санкт-Петербургское шоссе /г. Петергоф/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Санкт-Петербургское шоссе - Петергофское шоссе - проспект Стачек - улица Лёни Голикова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	85	Citroёn Jumper, Ford Transit, Mercedes Sprinter, Peugeot Boxer, Volkswagen Crafter	"работает нелегальный перевозчик - ООО ""ЛРТК""<BR>СПб - ТК ""Лента"" - 40р.<BR>СПб - Стрельна - 45р.<BR>СПб - Петергоф - 55р.<BR>ТК ""Лента"" - Стрельна - 40р.<BR>Стрельна - Петергоф - 45р.<BR>Стрельна - Низино - 55р.<BR>Петергоф - Низино - 40р.<BR>Старый Петергоф - Низино - 30р."	27.06.2016	2	-	-
935	lmn	К-	650	в	"ХК ""Питеравто"""	инт	Лаголово	станция метро Проспект Ветеранов	ежедневно	Лаголово - Кингисеппское шоссе /г. Красное Село/ - проспект Ленина /г. Красное Село/ - Гореловский путепровод - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	50	ПАЗ-3204-12	<BR>по СПб - 40р.<BR>СПб - Горелово - 40р.<BR>СПб - Красное Село - 46р.<BR>Красное Село - Лаголово - 30р.<BR>по Красному Селу - 30р.	27.06.2016	2	-	-
937	lmn	К-	650	а	"ХК ""Питеравто"""	инт	Кипень	станция метро Проспект Ветеранов	ежедневно	Кипень - Ропша - Олики - Разбегаево - Горбунки - улица Нижняя Колония /пос. Стрельна/ - Волхонское шоссе /пос. Стрельна/ - Фронтовая улица /пос. Стрельна/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Петергофское шоссе - проспект Стачек - улица Лёни Голикова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	66	ПАЗ-3203	"<BR>СПб - Стрельна - 40р.<BR>СПб - Горбунки - 47р.<BR>СПб - Разбегаево - 50р.<BR>СПб - Олики - 55р.<BR>СПб - Ропша - 60р.<BR><BR>ТК ""Лента"" - Стрельна - 30р.<BR>ТК ""Лента"" - Горбунки - 40р.<BR>ТК ""Лента"" - Разбегаево - 45р.<BR>ТК ""Лента"" - Олики - 50р.<BR>ТК ""Лента"" - Ропша - 55р.<BR>ТК ""Лента"" - Кипень - 60р.<BR><BR>Стрельна - Горбунки - 35р.<BR>Стрельна - Разбегаево - 40р.<BR>Стрельна - Олики - 45р.<BR>Стрельна - Ропша - 50р.<BR>Стрельна - Кипень - 55р.<BR><BR>Горбунки - Разбегаево - 30р.<BR>Горбунки - Ропша - 40р.<BR>Горбунки - Кипень - 45р.<BR><BR>Разбегаево - Ропша - 35р.<BR>Разбегаево - Кипень - 40р.<BR>Ропша - Кипень - 30р."	27.06.2016	2	-	-
